aluminum_alloy,temper,modulus_elastic,modulus_shear,strength_yield,strength_tensile
1100,,10,3.75,3.5,11
1100 - H12,H12,10,3.75,11,14
2014,,10.8,4,8,22
2014 - T6,T6,10.6,4,58,66
2014 - T62,T62,10.8,4,59,67
2017 - T4,T4,10.5,3.95,32,55
2024 - T3,T3,10.6,4,42,64
2024 - T4,T4,10.6,4,40,62
2025 - T6,T6,10.4,3.9,33,52
2124 - T851,T851,10.4,4,57,66
2219 - T62,T62,10.5,4,36,54
2618 - T61,T61,10.7,4.1,42,55
3003,,10,3.75,5,14
3003 - H18,H18,10,3.75,25,27
3003 - H112,H112,10,3.75,10,17
354 - T61,T61,10.6,4,36,47
355 - T51,T51,10.2,3.8,22,27
355 - T6,T6,10.3,3.8,23,37
356 _ T7,T7,10.3,3.85,21,29
356 - T6,T6,10.3,3.85,20,30
5052,,10.2,3.8,9.5,25
5052 - H32,H32,10.2,3.8,23,31
5056 - H38,H38,10.3,3.75,50,60
5056 - ANL,ANL,10.3,4,22,42
6061 - T4,T4,10,3.8,16,30
6061 - T6,T6,10,3.8,35,42
6062,,10,3.75,5,14
6062 - T4,T4,10,3.75,16,26
6062 - T6,T6,10,3.75,35,38
6063 - T42,T42,10,3.75,10,17
6063 - T5,T5,10,3.75,16,22
6063 - T6,T6,10,3.75,25,30
6151 - T6,T6,10.1,3.85,37,44
7050 - T7452,T7452,10.9,3.8,58,68
7050 - T74,T74,10,3.8,60,70
7075 - T6,T6,10.4,3.9,66.5,75.5
A356,T61,10.4,3.9,28,38
D712,T5,10.3,3.8,20,32
