"TABLE 3   Underemployed Persons by Hours Worked and Sector, and Unemployed Persons by Age Group, Sex, and Highest Grade Completed with Measures of Precision, Philippines: 
January 2021p, February 2021p, March 2021p, April 2021p, May 2021p, June 2021p, July 2021p, August 2021p, September 2021p, October 2021p, November 2021p, and December 2021p",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(In Percent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hours Worked/Major Industry Group/Age Group/Sex/ Highest Grade Completed,January 2021p                           ,,,,February 2021p                           ,,,,March 2021p                           ,,,,April 2021p                           ,,,,May 2021p                           ,,,,June 2021p                           ,,,,"July 2021p, 1                           ",,,,August 2021p                           ,,,,September 2021p                           ,,,,October 2021p                           ,,,,November 2021p                           ,,,,December 2021p                           ,,,
,Estimate,Standard Error,90% Confidence Interval),,Estimate,Standard Error,90% Confidence Interval),,Estimate,Standard Error,90% Confidence Interval),,Estimate,Standard Error,90% Confidence Interval),,Estimate,Standard Error,90% Confidence Interval),,Estimate,Standard Error,90% Confidence Interval),,Estimate,Standard Error,90% Confidence Interval),,Estimate,Standard Error,90% Confidence Interval),,Estimate,Standard Error,90% Confidence Interval),,Estimate,Standard Error,90% Confidence Interval),,Estimate,Standard Error,90% Confidence Interval),,Estimate,Standard Error,90% Confidence Interval),
,,,Lower Limit,Upper Limit,,,Lower Limit,Upper Limit,,,Lower Limit,Upper Limit,,,Lower Limit,Upper Limit,,,Lower Limit,Upper Limit,,,Lower Limit,Upper Limit,,,Lower Limit,Upper Limit,,,Lower Limit,Upper Limit,,,Lower Limit,Upper Limit,,,Lower Limit,Upper Limit,,,Lower Limit,Upper Limit,,,Lower Limit,Upper Limit
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNDEREMPLOYED PERSONS,"6,589",196,"6,267","6,910","7,850",380,"7,226","8,475","7,335",376,"6,717","7,954","7,453",242,"7,056","7,850","5,492",346,"4,923","6,060","6,409",406,"5,741","7,078","8,692",169,"8,414","8,970","6,482",316,"5,963","7,001","6,183",393,"5,537","6,829","7,044",222,"6,679","7,410","7,617",534,"6,739","8,495","6,811",417,"6,126","7,496"
  Number (in thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  HOURS WORKED IN A WEEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,
  Worked less than 40 hours,67.8,1.0,66.2,69.4,65.8,1.6,63.1,68.4,65.2,1.7,62.4,68.0,66.7,1.0,65.2,68.3,69.4,1.6,66.9,72.0,67.2,2.0,63.8,70.5,51.4,0.7,50.3,52.6,70.1,1.4,67.8,72.4,68.5,1.9,65.3,71.7,65.0,1.0,63.4,66.7,66.6,1.9,63.5,69.7,64.8,2.1,61.4,68.3
  Worked 40 hours and over,31.2,1.0,29.6,32.9,31.4,1.6,28.8,34.0,32.8,1.7,30.0,35.6,28.5,1.0,26.9,30.1,27.7,1.6,25.1,30.4,31.2,2.0,27.8,34.5,48.0,0.7,46.8,49.2,28.8,1.4,26.5,31.1,28.6,2.0,25.3,31.9,33.2,1.0,31.6,34.8,31.2,1.8,28.2,34.2,33.1,2.3,29.3,36.9
